Abbr,Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery_Name,City,State
 OR,Caldera Pale Ale (2005),789,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland,NA
 OR,Caldera Pale Ale (2007),788,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland,NA
 OR,Caldera Pale Ale (2009),790,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland,NA
 OR,Caldera Pale Ale (2010),791,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland,NA
 OR,Caldera Pale Ale (2011),38,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland,NA
 OR,Loki Red Ale,2191,0.075,53,202,American Amber / Red Ale,16,Fearless Brewing Company,Estacada,NA
 OR,Loki Red Ale (2013),895,0.075,53,202,American Amber / Red Ale,16,Fearless Brewing Company,Estacada,NA
 OR,Worthy Pale,1511,0.06,50,200,American Pale Ale (APA),12,Worthy Brewing Company,Bend,NA
 OR,Celestial Meridian Cascadian Dark Lager,2187,0.051,45,117,Euro Dark Lager,12,Base Camp Brewing Co.,Portland,NA
 OR,Fivepine Chocolate Porter,2317,0.062,40,154,American Porter,12,Three Creeks Brewing,Sisters,NA
 OR,Mirror Pond Pale Ale,1210,0.05,40,455,American Pale Ale (APA),12,Deschutes Brewery,Bend,NA
 OR,Mountain Rescue Pale Ale,2205,0.055,40,195,American Pale Ale (APA),12,Goodlife Brewing Co.,Bend,NA
 OR,Trolley Stop Stout,1580,0.057,40,375,American Stout,12,Astoria Brewing Company,Astoria,NA
 OR,Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12,Alameda Brewing,Portland,NA
 OR,Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12,Astoria Brewing Company,Astoria,NA
 OR,Poop Deck Porter,979,0.062,35,375,American Porter,12,Astoria Brewing Company,Astoria,NA
 OR,Survival Stout,2200,0.058,35,81,American Stout,16,Hopworks Urban Brewery,Portland,NA
 OR,HUB Lager,658,0.051,32,81,Czech Pilsener,16,Hopworks Urban Brewery,Portland,NA
 OR,Mac's Scottish Style Amber Ale (2000),961,0.051,32,486,American Amber / Red Ale,12,MacTarnahans Brewing Company,Portland,NA
 OR,Na Zdraví Pilsner,1283,0.048,32,437,Czech Pilsener,16,Southern Oregon Brewing Company,Medford,NA
 OR,Hefe Black,1837,0.049,30,297,Hefeweizen,12,Widmer Brothers Brewing Company,Portland,NA
 OR,Hefe Lemon,1838,0.049,30,297,Radler,12,Widmer Brothers Brewing Company,Portland,NA
 OR,Lights Out Vanilla Cream Extra Stout,1513,0.077,30,200,American Double / Imperial IPA,12,Worthy Brewing Company,Bend,NA
 OR,Widmer Brothers Hefeweizen,1836,0.049,30,297,Hefeweizen,12,Widmer Brothers Brewing Company,Portland,NA
 OR,Overcast Espresso Stout,1668,0.058,27,151,American Stout,12,Oakshire Brewing,Eugene,NA
 OR,Easy Day Kolsch,1514,0.045,25,200,Kölsch,12,Worthy Brewing Company,Bend,NA
 OR,Ashland Amber Ale,37,0.054,24,156,American Amber / Red Ale,12,Caldera Brewing Company,Ashland,NA
 OR,Ashland Amber Ale (2009),794,0.054,24,156,American Amber / Red Ale,12,Caldera Brewing Company,Ashland,NA
 OR,Oakshire Amber Ale,1669,0.054,24,151,American Amber / Red Ale,12,Oakshire Brewing,Eugene,NA
 OR,Hop in the ‘Pool Helles,2404,0.049,22,117,American Pilsner,12,Base Camp Brewing Co.,Portland,NA
 OR,Totally Radler,2482,0.027,21,81,Radler,16,Hopworks Urban Brewery,Portland,NA
 OR,Double D Blonde,2195,0.049,20,199,American Blonde Ale,12,Hop Valley Brewing Company,Springfield,NA
 OR,Double D Blonde (2011),498,0.049,20,199,American Blonde Ale,12,Hop Valley Brewing Company,Springfield,NA
 OR,Double D Blonde (2013),1390,0.049,20,199,American Blonde Ale,12,Hop Valley Brewing Company,Springfield,NA
 OR,Lost Meridian Wit,2188,0.05,20,117,Witbier,12,Base Camp Brewing Co.,Portland,NA
 OR,Nonstop Hef Hop,2400,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2399,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2398,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2397,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2396,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2395,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2394,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2393,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2392,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2391,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2390,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,Nonstop Hef Hop,2389,0.039,20,81,American Pale Wheat Ale,16,Hopworks Urban Brewery,Portland,NA
 OR,P-Town Pilsner,2403,0.04,20,118,American Pilsner,12,Alameda Brewing,Portland,NA
 OR,Knotty Blonde Ale,2319,0.04,18,154,American Blonde Ale,12,Three Creeks Brewing,Sisters,NA
 OR,Sweet As Pacific Ale,1108,0.06,18,465,American Pale Wheat Ale,12,Good Life Brewing Company,Bend,NA
 OR,Lawnmower Lager,878,0.039,16,156,American Adjunct Lager,12,Caldera Brewing Company,Ashland,NA
 OR,Couch Select Lager,2196,0.05,14,198,American Pale Lager,12,Burnside Brewing Co.,Portland,NA
 OR,541 American Lager,1354,0.048,13,199,American Pale Lager,12,Hop Valley Brewing Company,Springfield,NA
 OR,Wheat the People,893,0.044,13,419,American Pale Wheat Ale,16,Coalition Brewing Company,Portland,NA
 PA,1492,2300,0.065,NA,168,American Pale Ale (APA),12,Boxcar Brewing Company,West Chester,NA
 PA,360° India Pale Ale,1211,0.062,NA,372,American IPA,12,Sly Fox Brewing Company,Pottstown,NA
 PA,All Aboard! Anniversary Stout,1880,0.071,NA,44,Oatmeal Stout,12,Rivertowne Brewing Company,Export,NA
 PA,Alpha Blackback,1841,0.072,NA,165,American Black Ale,12,Round Guys Brewing,Lansdale,NA
 PA,Babbling Blonde,1103,0.053,NA,44,American Blonde Ale,12,Rivertowne Brewing Company,Export,NA
 PA,Bermuda Triangle Ginger Beer,1554,0.045,NA,382,Herbed / Spiced Beer,12,Swashbuckler Brewing Company,Manheim,NA
 PA,Better Half,1611,0.068,NA,364,American IPA,12,Mikkeller,Pottstown,NA
 PA,Buck Snort Stout,1306,0.061,NA,432,American Stout,12,North Country Brewing Company,Slippery Rock,NA
 PA,Celestial Blonde Ale,900,0.065,NA,302,American Blonde Ale,16,Old Forge Brewing Company,Danville,NA
 PA,County Line IPA,1758,0.066,NA,326,American IPA,12,Neshaminy Creek Brewing Company,Croydon,NA
 PA,Dayman IPA,2048,0.05,NA,44,American IPA,12,Rivertowne Brewing Company,Export,NA
 PA,Dock Street Amber Beer (1992),944,NA,NA,489,American Amber / Red Ale,12,Dock Street Brewery,Philadelphia,NA
 PA,Endless Summer Ale (2011),508,0.048,NA,302,American Pale Wheat Ale,16,Old Forge Brewing Company,Danville,NA
 PA,Endless Sun Ale,1381,0.045,20,302,American Pale Wheat Ale,16,Old Forge Brewing Company,Danville,NA
 PA,Fear of a Brett Planet,2053,0.051,NA,165,American Pale Ale (APA),12,Round Guys Brewing,Lansdale,NA
 PA,Festivus (1),1628,0.072,NA,357,Winter Warmer,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Fort Pitt Ale,2322,NA,NA,152,American Amber / Red Ale,12,Fort Pitt Brewing Company,Latrobe,NA
 PA,Grateful White,1101,0.061,NA,44,Witbier,12,Rivertowne Brewing Company,Export,NA
 PA,Hala Kahiki Pineapple Beer,1098,0.048,NA,44,Fruit / Vegetable Beer,12,Rivertowne Brewing Company,Export,NA
 PA,Headless Wylie,2049,0.08,NA,44,Pumpkin Ale,12,Rivertowne Brewing Company,Export,NA
 PA,Helen's Blend,1405,0.05,NA,417,Cider,12,Jack's Hard Cider (Hauser Estate...,Biglerville,NA
 PA,Hop Lace,1879,0.062,NA,44,American White IPA,12,Rivertowne Brewing Company,Export,NA
 PA,Hopsmith Pale Lager,1828,0.06,NA,302,American Pale Lager,16,Old Forge Brewing Company,Danville,NA
 PA,Inclined Plane Ale,520,NA,NA,533,American IPA,12,Flat Rock Brewing Company,Smithton,NA
 PA,Jack's Hard Cider,823,0.051,NA,417,Cider,12,Jack's Hard Cider (Hauser Estate...,Biglerville,NA
 PA,Keeper (Current),1612,0.05,NA,364,American Pilsner,12,Mikkeller,Pottstown,NA
 PA,Kiss Off IPA,1782,0.063,NA,165,American IPA,12,Round Guys Brewing,Lansdale,NA
 PA,Lionshead,2455,0.045,NA,91,American Pilsner,12,The Lion Brewery,Wilkes-Barre,NA
 PA,Manayunk IPA,1624,0.055,NA,357,American IPA,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Manayunk Oktoberfest,1626,0.067,25,357,Märzen / Oktoberfest,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Mango Ginger,2299,0.058,NA,168,American IPA,12,Boxcar Brewing Company,West Chester,NA
 PA,Maxwell's Scottish Ale,1102,0.051,NA,44,Scottish Ale,12,Rivertowne Brewing Company,Export,NA
 PA,Nitro Can Coffee Stout,2411,0.052,NA,114,American Stout,12,Vault Brewing Company,Yardley,NA
 PA,OH-PA Session Pale Ale,1878,0.048,NA,44,American Pale Ale (APA),12,Rivertowne Brewing Company,Export,NA
 PA,Oktoberfest,2373,0.062,NA,44,Märzen / Oktoberfest,12,Rivertowne Brewing Company,Export,NA
 PA,Old Wylie's IPA,1099,0.062,NA,44,American IPA,12,Rivertowne Brewing Company,Export,NA
 PA,Overbite IPA,891,0.075,NA,302,American IPA,16,Old Forge Brewing Company,Danville,NA
 PA,Paleo IPA,1307,0.06,NA,432,English India Pale Ale (IPA),12,North Country Brewing Company,Slippery Rock,NA
 PA,Passenger,2298,0.047,NA,168,English Dark Mild Ale,12,Boxcar Brewing Company,West Chester,NA
 PA,Patrick's Poison,1877,0.08,NA,44,American Amber / Red Ale,12,Rivertowne Brewing Company,Export,NA
 PA,Plowshare Porter,1485,0.055,NA,302,American Porter,16,Old Forge Brewing Company,Danville,NA
 PA,Resolution Rye Stout,1486,0.068,NA,302,American Stout,16,Old Forge Brewing Company,Danville,NA
 PA,RT Lager,1100,0.055,NA,44,American Amber / Red Lager,12,Rivertowne Brewing Company,Export,NA
 PA,Rudolph's Red,1764,0.081,NA,44,American Amber / Red Ale,12,Rivertowne Brewing Company,Export,NA
 PA,Sanctified,2249,0.099,NA,165,Belgian Strong Pale Ale,12,Round Guys Brewing,Lansdale,NA
 PA,Seven Gates Pale Ale,1587,0.056,NA,373,American Pale Ale (APA),12,Spring House Brewing Company,Conestoga,NA
 PA,Slimy Pebble Pils,1304,0.045,NA,432,German Pilsener,12,North Country Brewing Company,Slippery Rock,NA
 PA,Station 33 Firehouse Red,1305,0.055,NA,432,Irish Red Ale,12,North Country Brewing Company,Slippery Rock,NA
 PA,Straub Beer (Current),2369,0.05,NA,130,American Adjunct Lager,12,Straub Brewery,St Mary's,NA
 PA,T-Rail Pale Ale,509,0.055,NA,302,American Pale Ale (APA),16,Old Forge Brewing Company,Danville,NA
 PA,Trauger Pilsner,1757,0.048,NA,326,German Pilsener,12,Neshaminy Creek Brewing Company,Croydon,NA
 PA,Troegenator,2445,0.082,25,98,Doppelbock,16,Tröegs Brewing Company,Hershey,NA
 PA,Yunkin' Punkin',1600,0.055,NA,357,Pumpkin Ale,12,Manayunk Brewing Company,Philadelphia,NA
 PA,113 IPA,24,0.07,113,372,American IPA,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Jah Mon,2579,0.05,100,44,American IPA,12,Rivertowne Brewing Company,Export,NA
 PA,Madra Allta,1675,0.064,95,346,American IPA,12,Lavery Brewing Company,Erie,NA
 PA,Nugget Nectar,2444,0.075,93,98,American Amber / Red Ale,16,Tröegs Brewing Company,Hershey,NA
 PA,Odyssey Imperial IPA,894,0.084,90,372,American Double / Imperial IPA,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Dreamin' Double IPA,1334,0.085,85,357,American Double / Imperial IPA,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Good Vibes IPA,1603,0.073,85,323,American IPA,12,Voodoo Brewery,Meadville,NA
 PA,Perpetual IPA,1509,0.075,85,98,American IPA,12,Tröegs Brewing Company,Hershey,NA
 PA,Pilzilla,1488,0.075,85,323,American Double / Imperial Pilsner,12,Voodoo Brewery,Meadville,NA
 PA,Irregardless IPA,1686,0.065,75,299,American IPA,12,Liquid Hero Brewery,York,NA
 PA,Duluchan India Pale Ale,1249,0.056,70,346,American IPA,12,Lavery Brewing Company,Erie,NA
 PA,Homefront IPA,2305,0.06,70,164,American IPA,12,Sly Fox Brewing Company,Phoenixville,NA
 PA,Falling Down Brown Ale,1487,0.065,65,302,American Brown Ale,16,Old Forge Brewing Company,Danville,NA
 PA,Hop Farm IPA,1833,0.058,45,298,American IPA,12,Hop Farm Brewing Company,Pittsburgh,NA
 PA,Sunshine Pils,2203,0.045,45,98,American Pilsner,12,Tröegs Brewing Company,Hershey,NA
 PA,Pikeland Pils,21,0.049,44,372,German Pilsener,12,Sly Fox Brewing Company,Pottstown,NA
 PA,American Hero,1688,0.057,42,299,American Amber / Red Ale,12,Liquid Hero Brewery,York,NA
 PA,Adam's Stout,1832,0.058,40,299,American Stout,12,Liquid Hero Brewery,York,NA
 PA,Original Slacker Ale,1842,0.056,40,165,English Brown Ale,12,Round Guys Brewing,Lansdale,NA
 PA,Phoenix Pale Ale,20,0.051,40,372,American Pale Ale (APA),12,Sly Fox Brewing Company,Pottstown,NA
 PA,Sundown,2304,0.071,36,165,Saison / Farmhouse Ale,12,Round Guys Brewing,Lansdale,NA
 PA,Wynona's Big Brown Ale,1730,0.075,31,323,American Brown Ale,12,Voodoo Brewery,Meadville,NA
 PA,Monk from the 'Yunk,1356,0.09,30,357,Tripel,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Rumspringa Golden Bock,392,0.066,30,546,Maibock / Helles Bock,12,Lancaster Brewing Company,Lancaster,NA
 PA,Dog Days Summer Ale,1552,0.045,28,165,Kölsch,12,Round Guys Brewing,Lansdale,NA
 PA,Lancaster German Style Kölsch,195,0.048,28,546,Kölsch,12,Lancaster Brewing Company,Lancaster,NA
 PA,One Nut Brown,1834,0.047,28,298,American Brown Ale,12,Hop Farm Brewing Company,Pittsburgh,NA
 PA,Gran Met,1729,0.092,25,323,Belgian Strong Pale Ale,12,Voodoo Brewery,Meadville,NA
 PA,Grisette,1363,0.056,25,372,Grisette,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Oktoberfest Lager,166,0.058,25,372,Märzen / Oktoberfest,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Provision,1835,0.042,25,298,Saison / Farmhouse Ale,12,Hop Farm Brewing Company,Pittsburgh,NA
 PA,Troegenator Doublebock,1510,0.082,25,98,Doppelbock,16,Tröegs Brewing Company,Hershey,NA
 PA,Voodoo Love Child,1770,0.092,25,323,Tripel,12,Voodoo Brewery,Meadville,NA
 PA,White Magick of the Sun,1769,0.079,23,323,Witbier,12,Voodoo Brewery,Meadville,NA
 PA,Belgian Style Session Ale,1625,0.045,21,357,Belgian Pale Ale,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Dunkel Lager,23,0.053,21,372,Munich Dunkel Lager,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Old Forge Pumpkin Ale,1394,0.046,20,302,Pumpkin Ale,16,Old Forge Brewing Company,Danville,NA
 PA,Schweet Ale,1687,0.052,20,299,Fruit / Vegetable Beer,12,Liquid Hero Brewery,York,NA
 PA,Helles Golden Lager,1123,0.049,18,372,Munich Helles Lager,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Summer Paradise,1484,0.05,18,357,American Pale Wheat Ale,12,Manayunk Brewing Company,Philadelphia,NA
 PA,Sly Fox Christmas Ale 2012 (2012),926,0.055,16,372,Winter Warmer,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Sly Fox Christmas Ale 2013,1588,0.055,16,372,Winter Warmer,12,Sly Fox Brewing Company,Pottstown,NA
 PA,Schuylkill Punch,1355,0.06,14,357,Fruit / Vegetable Beer,12,Manayunk Brewing Company,Philadelphia,NA
 PA,American Light,2231,0.032,13,130,Light Lager,12,Straub Brewery,St Mary's,NA
 PA,Royal Weisse Ale,22,0.056,11,372,Hefeweizen,12,Sly Fox Brewing Company,Pottstown,NA
 PA,American Amber,2232,0.041,8,130,American Amber / Red Lager,12,Straub Brewery,St Mary's,NA
 PA,American Lager,2233,0.041,8,130,American Adjunct Lager,12,Straub Brewery,St Mary's,NA
 RI,Autumn Winds,1567,0.058,NA,380,Märzen / Oktoberfest,16,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,Autumn Winds Fest Beer,2461,0.058,NA,87,Märzen / Oktoberfest,16,Grey Sail Brewing Company,Westerly,NA
 RI,Backyahd IPA,983,0.06,NA,280,American IPA,12,Foolproof Brewing Company,Pawtucket,NA
 RI,Barstool American Golden Ale,981,0.045,NA,280,American Blonde Ale,12,Foolproof Brewing Company,Pawtucket,NA
 RI,Bring Back the Beach Blonde Ale,1185,0.055,NA,380,American Blonde Ale,16,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,La Ferme Urbaine Farmhouse Ale,1899,0.078,NA,280,Saison / Farmhouse Ale,12,Foolproof Brewing Company,Pawtucket,NA
 RI,Raincloud Robust Porter,982,0.065,NA,280,American Porter,12,Foolproof Brewing Company,Pawtucket,NA
 RI,Newport Storm IPA,2437,0.065,75,102,American IPA,12,Coastal Extreme Brewing Company,Newport,NA
 RI,Captain's Daughter,2044,0.085,69,87,American Double / Imperial IPA,12,Grey Sail Brewing Company,Westerly,NA
 RI,Flying Jenny Extra Pale Ale,1505,0.06,54,380,American Pale Ale (APA),12,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,Flying Jenny Extra Pale Ale (2012),693,0.06,54,380,American Pale Ale (APA),12,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,Narragansett Bohemian Pilsner,1291,0.086,35,144,German Pilsener,16,Narragansett Brewing Company,Providence,NA
 RI,Leaning Chimney Smoked Porter,984,0.06,34,380,American Porter,16,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,Narragansett Bock,315,0.065,32,144,Bock,16,Narragansett Brewing Company,Providence,NA
 RI,Autocrat Coffee Milk Stout,1775,0.053,30,144,Milk / Sweet Stout,16,Narragansett Brewing Company,Providence,NA
 RI,Bohemian Pils,2224,0.052,30,144,American Pilsner,16,Narragansett Brewing Company,Providence,NA
 RI,Hurricane Amber Ale,120,0.052,24,102,American Amber / Red Ale,12,Coastal Extreme Brewing Company,Newport,NA
 RI,Hurricane Amber Ale (2004),751,0.052,24,102,American Amber / Red Ale,12,Coastal Extreme Brewing Company,Newport,NA
 RI,Narragansett Summer Ale,1093,0.042,24,144,American Pale Wheat Ale,12,Narragansett Brewing Company,Providence,NA
 RI,Narragansett Summer Ale,403,0.042,24,144,American Pale Wheat Ale,16,Narragansett Brewing Company,Providence,NA
 RI,Flagship Ale,631,0.049,22,380,Cream Ale,12,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,Narragansett Cream Ale,580,0.05,22,144,Cream Ale,16,Narragansett Brewing Company,Providence,NA
 RI,Narragansett Porter,316,0.07,22,144,American Porter,16,Narragansett Brewing Company,Providence,NA
 RI,Hazy Day Belgian-Style Wit,1186,0.04,20,380,Witbier,16,Grey Sail Brewing of Rhode Island,Westerly,NA
 RI,Narragansett Fest Lager,314,0.055,15,144,Märzen / Oktoberfest,16,Narragansett Brewing Company,Providence,NA
 RI,Rhode Island Blueberry,2438,0.046,11,102,Kölsch,12,Coastal Extreme Brewing Company,Newport,NA
 RI,Gansett Light,2345,0.037,10,144,Light Lager,16,Narragansett Brewing Company,Providence,NA
 SC,32°/50° Kölsch ,2654,0.048,NA,6,Kölsch,16,COAST Brewing Company,Charleston,NA
 SC,Blackbeard,2657,0.093,NA,6,American Double / Imperial Stout,12,COAST Brewing Company,Charleston,NA
 SC,Boy King,2652,0.097,80,6,American Double / Imperial IPA,16,COAST Brewing Company,Charleston,NA
 SC,Dead Arm,2655,0.06,NA,6,American Pale Ale (APA),12,COAST Brewing Company,Charleston,NA
 SC,HopArt,2653,0.077,75,6,American IPA,16,COAST Brewing Company,Charleston,NA
 SC,Nut Brown Ale,646,0.054,NA,519,English Brown Ale,12,New South Brewing Company,Myrtle Beach,NA
 SC,One Claw,1542,0.055,30,385,American Pale Ale (APA),12,Westbrook Brewing Company,Mt. Pleasant,NA
 SC,Rye Knot,2656,0.062,NA,6,American Brown Ale,12,COAST Brewing Company,Charleston,NA
 SC,White Ale,165,0.046,NA,519,Witbier,12,New South Brewing Company,Myrtle Beach,NA
 SC,Westbrook IPA,575,0.068,65,385,American IPA,12,Westbrook Brewing Company,Mt. Pleasant,NA
 SC,Golden Fleece,2031,0.045,35,247,Belgian Pale Ale,12,Quest Brewing Company,Greenville,NA
 SC,Smoking Mirror,2030,0.055,30,247,American Porter,12,Quest Brewing Company,Greenville,NA
 SC,White Thai,576,0.05,16,385,Witbier,12,Westbrook Brewing Company,Mt. Pleasant,NA
